carmine_red,red,#ff0038,255,0,56
carnation_pink,pink,#ffa6c9,255,166,201
carnelian,red,#b31b1b,179,27,27
carolina_blue,blue,#99badd,153,186,221
carrot_orange,orange,#ed9121,237,145,33
catalina_blue,blue,#062a78,6,42,120
ceil,blue,#92a1cf,146,161,207
celadon,yellow,#ace1af,172,225,175
celadon_blue,blue,#007ba7,0,123,167
celadon_green,green,#2f847c,47,132,124
celeste_colour,blue,#b2ffff,178,255,255
celestial_blue,blue,#4997d0,73,151,208
cerise,red,#de3163,222,49,99
cerise_pink,pink,#ec3b83,236,59,131
cerulean,blue,#007ba7,0,123,167
cerulean_blue,blue,#2a52be,42,82,190
cerulean_frost,blue,#6d9bc3,109,155,195
cg_blue,blue,#007aa5,0,122,165
cg_red,red,#e03c31,224,60,49
chamoisee,yellow,#a0785a,160,120,90
champagne,yellow,#fad6a5,250,214,165
charcoal,black,#36454f,54,69,79
charm_pink,pink,#e68fac,230,143,172
chartreuse_traditional,yellow,#dfff00,223,255,0
chartreuse_web,yellow,#7fff00,127,255,0
cherry,red,#de3163,222,49,99
cherry_blossom_pink,pink,#ffb7c5,255,183,197
chestnut,red,#cd5c5c,205,92,92
china_pink,pink,#de6fa1,222,111,161
china_rose,red,#a8516e,168,81,110
chinese_red,red,#aa381e,170,56,30
chocolate_traditional,brown,#7b3f00,123,63,0
chocolate_web,brown,#d2691e,210,105,30
chrome_yellow,yellow,#ffa700,255,167,0
cinereous,orange,#98817b,152,129,123
cinnabar,red,#e34234,227,66,52
cinnamon,red,#d2691e,210,105,30
citrine,yellow,#e4d00a,228,208,10
classic_rose,red,#fbcce7,251,204,231
cobalt,blue,#0047ab,0,71,171
cocoa_brown,brown,#d2691e,210,105,30
coffee,brown,#6f4e37,111,78,55
columbia_blue,blue,#9bddff,155,221,255
congo_pink,pink,#f88379,248,131,121
cool_black,black,#002e63,0,46,99
cool_grey,gray,#8c92ac,140,146,172
copper,orange,#b87333,184,115,51
copper_crayola,orange,#da8a67,218,138,103
copper_penny,orange,#ad6f69,173,111,105
copper_red,red,#cb6d51,203,109,81
copper_rose,red,#966,153,102,102
coquelicot,yellow,#ff3800,255,56,0
coral,red,#ff7f50,255,127,80
coral_pink,pink,#f88379,248,131,121
coral_red,red,#ff4040,255,64,64
cordovan,green,#893f45,137,63,69
corn,green,#fbec5d,251,236,93
cornell_red,red,#b31b1b,179,27,27
cornflower_blue,blue,#6495ed,100,149,237
cornsilk,white,#fff8dc,255,248,220
cosmic_latte,white,#fff8e7,255,248,231
cotton_candy,green,#ffbcd9,255,188,217
cream,yellow,#fffdd0,255,253,208
crimson,red,#dc143c,220,20,60
crimson_glory,red,#be0032,190,0,50
cyan,blue,#0ff,0,255,255
cyan_process,blue,#00b7eb,0,183,235
daffodil,yellow,#ffff31,255,255,49
dandelion,yellow,#f0e130,240,225,48
dark_blue,blue,#00008b,0,0,139
dark_brown,brown,#654321,101,67,33
dark_byzantium,purple,#5d3954,93,57,84
dark_candy_apple_red,red,#a40000,164,0,0
dark_cerulean,blue,#08457e,8,69,126
dark_chestnut,brown,#986960,152,105,96
dark_coral,red,#cd5b45,205,91,69
dark_cyan,green,#008b8b,0,139,139
dark_electric_blue,blue,#536878,83,104,120
dark_goldenrod,yellow,#b8860b,184,134,11
dark_gray,gray,#a9a9a9,169,169,169
dark_green,green,#013220,1,50,32
dark_imperial_blue,blue,#00416a,0,65,106
dark_jungle_green,black,#1a2421,26,36,33
dark_khaki,yellow,#bdb76b,189,183,107
dark_lava,brown,#483c32,72,60,50
dark_lavender,purple,#734f96,115,79,150
dark_magenta,purple,#8b008b,139,0,139
dark_midnight_blue,blue,#036,0,51,102
dark_olive_green,green,#556b2f,85,107,47
dark_orange,orange,#ff8c00,255,140,0
dark_orchid,blue,#9932cc,153,50,204
dark_pastel_blue,blue,#779ecb,119,158,203
